,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability
C_4,0,0,1,1,-1,-1,0,8,0.5
P_10,2,4,1,1,-1,4,4,7,0
I359,2,3,4,5,3,2,5,10,0.5
I403_4,2,2,1,1,-1,3,3,7,0
DFF_11.CK,1,0,0,0,1,1,1,-1,-1
I73_4,2,2,1,1,2,2,5,12,0.5
X_13,1,0,4,8,3,1,8,9,0.5
I408_3,2,6,4,4,-1,4,9,7,0.5
I405_4,2,3,1,1,-1,4,5,7,0
I363_1,3,4,1,1,2,3,8,12,0.5
X_3,1,0,6,12,4,1,6,10,0.5
C_6,0,0,1,1,-1,-1,0,8,0.5
I438,1,0,1,1,-1,-1,2,10,0.5
I602,2,4,1,1,-1,6,3,5,0.5
X_2,1,0,5,12,4,1,6,10,0.5
I468,1,1,2,3,-1,2,6,9,0.5
DFF_2.CK,1,0,0,0,1,1,1,-1,-1
DFF_15.Q,0,0,1,4,1,0,2,10,-1
I559_2,2,0,1,1,-1,-1,2,7,0.25
I203_1,1,2,1,1,3,3,5,13,0
I246,1,1,3,3,4,2,6,12,0.5
X_14,1,0,6,8,3,1,6,9,0.5
I547,1,2,1,1,-1,5,6,7,0.5
I595,1,2,1,1,-1,5,7,6,0.5
C_16,0,0,1,1,-1,-1,0,3,0.5
I1_3,2,5,5,9,3,4,3,12,0
I555_2,2,2,1,1,-1,5,3,6,0.5
P_2,2,3,1,1,-1,3,3,8,0
I478,2,1,2,2,-1,3,2,9,0.5
I50,1,1,3,3,3,2,5,13,0.5
I284_2,1,2,1,1,3,5,4,12,0.5
I534_3,2,5,1,1,-1,8,5,3,0
DFF_14.Q,0,0,1,6,1,0,2,10,-1
C_11,0,0,1,1,-1,-1,0,7,0.5
I627_2,2,2,1,1,-1,6,3,4,0.5
I506,1,2,1,2,-1,4,3,9,0
I403_3,2,2,1,1,-1,3,3,8,0
I626,2,4,1,1,-1,6,3,4,0.5
I570,1,2,1,1,-1,4,5,7,0.5
I69,2,3,3,3,4,3,3,14,0
I623,1,0,1,1,-1,-1,2,5,0.5
I203_4,2,2,1,1,2,2,6,12,0
I451,1,2,1,2,-1,4,3,11,0
I164,2,3,2,2,4,2,3,14,0.5
I105_4,2,2,1,1,2,2,5,12,0
C_7,0,0,1,1,-1,-1,0,8,0.5
X_4,1,0,5,9,3,1,5,10,0.5
I15,2,4,1,0,1,4,2,11,0.5
I574,1,0,1,1,-1,-1,2,7,0.5
I598,1,0,1,1,-1,-1,2,6,0.5
I407_3,4,4,1,4,-1,2,5,8,0.5
I412,1,1,2,3,-1,2,7,10,0.5
I366_1,2,3,1,1,2,2,8,12,0.5
I505,2,1,2,2,-1,3,2,8,0.5
I112,2,4,1,0,1,3,6,11,0.5
I442,1,1,1,1,-1,2,5,9,0.5
I583_1,2,2,1,1,-1,5,2,7,0
X_11,1,0,6,8,4,1,6,8,0.5
I162,2,2,3,5,4,2,6,14,0.5
I627_1,2,2,1,1,-1,7,3,4,0.5
C_9,0,0,1,1,-1,-1,0,7,0.5
I470,1,1,1,1,-1,2,6,8,0.5
I603_2,2,2,1,1,-1,6,3,5,0.5
I406_4,3,4,1,1,-1,3,5,4,0
I105_1,1,2,1,1,3,3,4,13,0
C_8,0,0,1,1,-1,-1,0,7,0.5
I405_3,2,3,1,1,-1,4,5,8,0
I68,1,2,1,1,3,4,4,13,0.5
X_5,1,0,6,10,4,1,6,10,0.5
I110,2,5,1,0,1,3,7,11,0.5
I166,1,2,1,1,3,4,5,13,0.5
I309,2,4,1,0,1,4,7,11,0.5
I171_2,1,1,1,1,3,2,5,12,0.5
I469,1,1,1,1,-1,2,7,9,0.5
I193_1,3,4,1,1,3,3,4,13,0.5
DFF_12.D,1,2,0,0,0,1,2,-1,-1
X_1,1,0,6,14,3,1,6,10,0.5
I258,2,4,1,1,2,2,6,11,0.5
DFF_9.D,1,2,0,0,0,1,2,-1,-1
I448,2,2,2,2,-1,3,4,10,0.5
I7_4,2,2,1,1,2,2,4,12,0
DFF_0.CK,1,0,0,0,1,1,1,-1,-1
P_7,2,6,1,1,-1,3,6,8,0
P_1,2,2,1,1,-1,3,3,8,0
I555_1,2,2,1,1,-1,6,3,6,0.5
I264,1,2,1,1,3,4,6,12,0.5
I301_1,1,2,1,1,3,3,6,12,0
DFF_11.D,1,2,0,0,0,1,2,-1,-1
DFF_10.Q,0,0,1,5,1,0,2,10,-1
I301_3,2,3,1,1,2,3,6,12,0.5
I70_1,3,3,1,1,2,3,5,12,0.5
I497,1,1,1,1,-1,2,7,8,0.5
I171_1,1,2,1,1,3,4,5,12,0.5
P_9,2,4,1,1,-1,4,4,7,0
I211,2,4,1,0,1,4,6,11,0.5
I467,1,1,2,3,-1,2,8,9,0.5
I360,1,2,2,3,5,3,6,14,0
DFF_0.Q,0,0,1,5,1,0,2,11,-1
DFF_10.D,1,2,0,0,0,1,2,-1,-1
DFF_0.D,1,2,0,0,0,1,2,-1,-1
DFF_3.Q,0,0,1,6,1,0,2,11,-1
I95_1,3,4,1,1,3,3,3,13,0.5
I62,2,4,1,1,2,2,4,12,0.5
I559_1,2,2,1,1,-1,4,2,7,0
I404_3,2,3,1,1,-1,4,3,8,0
I554,2,4,1,1,-1,5,3,6,0.5
I14,2,4,1,0,1,4,2,11,0.5
I618,1,2,1,1,-1,5,5,5,0.5
DFF_13.CK,1,0,0,0,1,1,1,-1,-1
DFF_3.D,1,2,0,0,0,1,2,-1,-1
I479,1,2,1,2,-1,4,3,10,0
I64,2,2,3,5,5,2,6,15,0.5
I533_2,3,6,1,1,-1,6,4,5,0
I171_4,2,2,1,1,2,2,6,11,0.5
DFF_14.CK,1,0,0,0,1,1,1,-1,-1
I406_2,3,4,1,1,-1,2,5,8,0
DFF_8.D,1,2,0,0,0,1,2,-1,-1
I408_2,2,8,5,8,-1,3,6,8,0.5
DFF_7.Q,0,0,1,6,1,0,2,11,-1
I414,1,1,1,1,-1,2,6,9,0.5
P_5,2,6,1,1,-1,3,4,8,0
DFF_7.D,1,2,0,0,0,1,2,-1,-1
I7_1,1,2,1,1,3,3,3,13,0
I2_1,3,4,1,5,4,3,7,14,0.5
I2_3,3,4,1,3,4,3,7,15,0.5
I631_2,2,2,1,1,-1,5,2,5,0
I147,1,1,1,1,3,2,6,15,0.5
I357,1,2,1,1,2,4,6,12,0.5
P_0,0,0,14,24,4,-1,0,10,0.5
C_15,0,0,1,1,-1,-1,0,6,0.5
I244,1,2,2,4,4,5,4,13,0.5
I345,1,1,1,1,4,2,7,14,0.5
I594,1,2,1,1,-1,5,5,6,0.5
I579_1,2,2,1,1,-1,5,3,6,0.5
DFF_4.CK,1,0,0,0,1,1,1,-1,-1
I403_2,2,2,1,1,-1,3,3,9,0
I111,2,4,1,0,1,4,7,10,0.5
DFF_5.CK,1,0,0,0,1,1,1,-1,-1
P_16,2,5,1,1,-1,3,6,3,0
DFF_4.Q,0,0,1,5,1,0,2,11,-1
I88_1,1,1,1,1,3,2,5,13,0.5
I358,2,3,1,1,3,3,8,13,0.5
DFF_6.CK,1,0,0,0,1,1,1,-1,-1
I113,2,4,1,0,1,4,5,11,0.5
X_8,1,0,5,5,3,1,5,10,0.5
I378_1,1,1,1,1,3,2,6,12,0.5
DFF_4.D,1,2,0,0,0,1,2,-1,-1
I494,1,0,1,1,-1,-1,2,8,0.5
I406_3,3,4,1,1,-1,3,5,7,0
